Date,Breadth
2015-01-01,0.0
2015-01-02,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-19,0.0
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-16,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,0.0
2015-03-09,0.0
2015-03-10,0.0
2015-03-11,0.0
2015-03-12,0.0
2015-03-13,0.0
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-30,0.0
2015-03-31,0.0
2015-04-01,0.0
2015-04-06,0.0
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.0
2015-04-13,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,0.0
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-11,0.0
2015-05-12,0.0
2015-05-13,0.0
2015-05-14,0.0
2015-05-15,0.0
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,0.0
2015-06-04,0.0
2015-06-05,0.0
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,0.0
2015-06-11,0.0
2015-06-12,0.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,0.0
2015-06-18,0.0
2015-06-19,0.0
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,0.0
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,0.0
2015-07-03,0.0
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,0.0
2015-07-09,0.0
2015-07-10,0.0
2015-07-13,0.0
2015-07-14,0.0
2015-07-15,0.0
2015-07-16,0.0
2015-07-17,0.0
2015-07-20,0.0
2015-07-21,0.0
2015-07-22,0.0
2015-07-23,0.0
2015-07-24,0.0
2015-07-27,0.0
2015-07-28,0.0
2015-07-29,0.0
2015-07-30,0.0
2015-07-31,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-10,0.0
2015-08-11,0.0
2015-08-12,0.0
2015-08-13,0.0
2015-08-14,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-21,0.0
2015-08-24,0.0
2015-08-25,0.0
2015-08-26,0.0
2015-08-27,0.0
2015-08-28,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,0.0
2015-09-03,0.0
2015-09-04,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,0.0
2015-09-10,0.0
2015-09-11,0.0
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-18,0.0
2015-09-21,0.0
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,0.0
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,0.0
2015-10-01,0.0
2015-10-05,0.0
2015-10-06,0.0
2015-10-07,0.0
2015-10-08,0.0
2015-10-09,0.0
2015-10-12,0.0
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,52.94117647058824
2015-10-23,52.012383900928796
2015-10-26,50.77399380804953
2015-10-27,51.39318885448917
2015-10-28,49.22600619195047
2015-10-29,50.15479876160991
2015-10-30,47.6780185758514
2015-11-02,47.05882352941176
2015-11-03,47.987616099071204
2015-11-04,48.297213622291025
2015-11-05,46.13003095975232
2015-11-06,43.20987654320987
2015-11-09,44.44444444444444
2015-11-10,41.23076923076923
2015-11-13,41.84615384615385
2015-11-16,42.46153846153846
2015-11-17,43.38461538461538
2015-11-18,43.07692307692308
2015-11-19,46.15384615384615
2015-11-20,48.61538461538461
2015-11-23,48.0
2015-11-24,48.92307692307693
2015-11-26,50.76923076923077
2015-11-27,50.46153846153846
2015-11-30,52.61538461538462
2015-12-01,54.15384615384615
2015-12-02,55.69230769230769
2015-12-03,52.307692307692314
2015-12-04,50.46153846153846
2015-12-07,51.38461538461539
2015-12-08,50.153846153846146
2015-12-09,44.92307692307692
2015-12-10,47.69230769230769
2015-12-11,44.92307692307692
2015-12-14,46.46153846153846
2015-12-15,48.92307692307693
2015-12-16,49.23076923076923
2015-12-17,53.84615384615385
2015-12-18,53.230769230769226
2015-12-21,54.769230769230774
2015-12-22,53.53846153846153
2015-12-23,54.12844036697248
2015-12-24,54.12844036697248
2015-12-28,56.269113149847094
2015-12-29,56.269113149847094
2015-12-30,57.18654434250765
2015-12-31,56.574923547400616
2016-01-01,59.021406727828754
2016-01-04,54.74006116207951
2016-01-05,56.574923547400616
2016-01-06,56.40243902439024
2016-01-07,51.21951219512195
2016-01-08,53.35365853658537
2016-01-11,52.13414634146341
2016-01-12,49.390243902439025
2016-01-13,46.34146341463415
2016-01-14,42.073170731707314
2016-01-15,34.146341463414636
2016-01-18,27.439024390243905
2016-01-19,30.182926829268293
2016-01-20,26.21951219512195
2016-01-21,27.743902439024392
2016-01-22,31.402439024390244
2016-01-25,32.6219512195122
2016-01-27,32.6219512195122
2016-01-28,32.926829268292686
2016-01-29,36.58536585365854
2016-02-01,38.41463414634146
2016-02-02,35.36585365853659
2016-02-03,29.878048780487802
2016-02-04,28.96341463414634
2016-02-05,34.146341463414636
2016-02-08,31.097560975609756
2016-02-09,28.65853658536585
2016-02-10,25.914634146341463
2016-02-11,17.378048780487802
2016-02-12,17.378048780487802
2016-02-15,20.426829268292682
2016-02-16,17.378048780487802
2016-02-17,18.597560975609756
2016-02-18,18.902439024390244
2016-02-19,19.817073170731707
2016-02-22,21.341463414634145
